e, e_dot, e_int, stamp, 
-0.36975687515675437, -0.7412847020405106, -0.023601640354626703, 214423000000, 
-0.37438716953705675, -0.4403789186498876, -0.024791819489630308, 214457000000, 
-0.38024587693121514, -0.14822839367414853, -0.02548617155683393, 214491000000, 
-0.39460278518522307, -0.25563061806200693, -0.02604934551747922, 214525000000, 
-0.40635452043893605, -0.39672109570322384, -0.026773938804588487, 214559000000, 
-0.41446010660386723, -0.30989271247408956, -0.027549461343835267, 214593000000, 
-0.4256027562857815, -0.268174725605653, -0.028252127355447923, 214627000000, 
-0.43867684769735693, -0.34666069387650933, -0.02898476677330546, 214661000000, 
-0.4506224474462679, -0.37346845658884176, -0.029804446499066543, 214695000000, 
-0.4625855502695325, -0.3515127678537897, -0.030642723162698237, 214729000000, 
-0.4756077568956846, -0.3622393360066795, -0.03147982377119366, 214763000000, 
-0.4889418950094847, -0.38606422907945337, -0.032348397915959906, 214797000000, 
-0.5022601784379447, -0.3920250946672572, -0.03324768948777725, 214831000000, 
-0.5159916350711933, -0.395764936178123, -0.03416305739308878, 214865000000, 
-0.5301139688306402, -0.4076985002543541, -0.03509629106636831, 214899000000, 
-0.543991533273317, -0.41296305844677067, -0.03604220177597008, 214933000000, 
-0.5579739413058844, -0.40919153841098943, -0.03699380071728974, 214967000000, 
-0.5726919522385936, -0.4184590882141577, -0.03795890167453669, 215001000000, 
-0.5878120022890649, -0.4368242344695071, -0.03895216563889364, 215035000000, 
-0.6030773834050354, -0.4461321687932658, -0.0399745103264744, 215069000000, 
-0.6187650969191238, -0.4531223112355816, -0.041018834939233084, 215103000000, 
-0.6349629016688145, -0.46640423311634943, -0.04208758865850741, 215137000000, 
-0.6515071863362965, -0.47980288398885573, -0.04318533085828266, 215171000000, 
-0.6684099397734968, -0.4901110075702375, -0.04431061396298178, 215205000000, 
-0.6857768970296917, -0.5016908248097609, -0.04546239785782833, 215239000000, 
-0.7035952147931948, -0.5152179634891448, -0.04664305983618469, 215273000000, 
-0.721826359527823, -0.5281154927611217, -0.04785383201728275, 215307000000, 
-0.7404953774978705, -0.5405030141108241, -0.049094117574561474, 215341000000, 
-0.759641735100943, -0.5537685641487008, -0.05036450536820376, 215375000000, 
-0.7792715559571339, -0.5678680006111362, -0.05166659648726815, 215409000000, 
-0.7993804252480106, -0.5820442255221417, -0.05300132423627132, 215443000000, 
-0.8199882471533239, -0.5963290243830054, -0.054369178509458625, 215477000000, 
-0.8411377091895372, -0.6114226063415682, -0.05577147798272642, 215511000000, 
-0.8630702044434324, -0.6297197973168815, -0.057215112977822655, 215545000000, 
-0.8860516046273322, -0.6553567714871585, -0.05871254908056685, 215579000000, 
-0.9101576055355255, -0.6869490321175774, -0.06027700006440925, 215613000000, 
-0.9349648526007339, -0.7158749890352446, -0.06190661208930809, 215647000000, 
-0.960319819372048, -0.7349947147228525, -0.06359002495685498, 215681000000, 
-0.9862489344822233, -0.7513632220863085, -0.06531476174631347, 215715000000, 
-1.0123580192269566, -0.7643854408341548, -0.06706900685650784, 215749000000, 
-1.0383928845817099, -0.7671866161198025, -0.06883866300126018, 215783000000, 
-1.0646774299645605, -0.7681791773760512, -0.07061637556552648, 215817000000, 
-1.0919025735734122, -0.7822964154367943, -0.07241938546404614, 215851000000, 
-1.1199653351831045, -0.8089514590921151, -0.07426836101101109, 215885000000, 
-1.1485587565509445, -0.8305778881100442, -0.07616967108030247, 215919000000, 
-1.1784158720679438, -0.853372139732151, -0.07813063917951184, 215953000000, 
-1.2104537778198525, -0.8995307528030129, -0.08018171054594479, 215987000000, 
-1.2440173554033218, -0.9572489126204573, -0.0823454387865987, 216021000000, 
-1.2766507841089387, -0.9780449399270145, -0.08457209679286123, 216055000000, 
-1.3074270863525288, -0.9415996044590579, -0.08677015845293523, 216089000000, 
-1.339180493642608, -0.914764821345679, -0.08892718958635905, 216123000000, 
-1.3735839681461952, -0.9599047949386819, -0.0911243417578702, 216157000000, 
-1.409216417751403, -1.0239156726704153, -0.09343156660291135, 216191000000, 
-1.4447318061243863, -1.046865564543127, -0.09582406301916498, 216225000000, 
-1.481225386645398, -1.054160365362531, -0.09826393517181359, 216259000000, 
