x, y, theta, stamp, 
-2.1407460769733313, -0.5612646359360158, 0.6949683240538712, 214355000000, 
-2.1348965739042844, -0.5565170947741704, 0.6674324571289231, 214389000000, 
-2.129036902066398, -0.5519366381663019, 0.6474560689245688, 214423000000, 
-2.1230428957314578, -0.5474328537738582, 0.6429660489691559, 214457000000, 
-2.1170336795927067, -0.5429480633025424, 0.6372430576934143, 214491000000, 
-2.1109754791113766, -0.5385232828363287, 0.6230063905873565, 214525000000, 
-2.1048577897477907, -0.5341835793893736, 0.6113537849130077, 214559000000, 
-2.098700394221471, -0.5299018381583929, 0.6033330663525523, 214593000000, 
-2.092498569663584, -0.5256783823222266, 0.5922603828969059, 214627000000, 
-2.0862819650511755, -0.5215552803870682, 0.579237073490137, 214661000000, 
-2.0800197835713643, -0.5175149409325264, 0.567322730228252, 214695000000, 
-2.0736979483409477, -0.5135400963376544, 0.555372792886598, 214729000000, 
-2.0673345225382787, -0.5096494278762227, 0.5423442341807937, 214763000000, 
-2.060923980355212, -0.5058448264120216, 0.5289831896138494, 214797000000, 
-2.0544576837293467, -0.5021246455428556, 0.5156166908863385, 214831000000, 
-2.047937663489924, -0.4984902368849229, 0.5018155922524028, 214865000000, 
-2.041354265705337, -0.49493548676039967, 0.487602116391431, 214899000000, 
-2.0346978546178045, -0.49146355828071536, 0.47361017225905244, 214933000000, 
-2.0279932499709674, -0.4880846584014459, 0.45949095615611407, 214967000000, 
-2.0212399412973525, -0.4848027440892892, 0.44461283411182634, 215001000000, 
-2.0144372297252255, -0.4816231662333582, 0.42930821798783175, 215035000000, 
-2.007586188676917, -0.47854797474393557, 0.41383345094554236, 215069000000, 
-2.000687081397217, -0.47558042652897325, 0.39791085645380475, 215103000000, 
-1.9937401152046093, -0.47272453373323015, 0.38145185412679444, 215137000000, 
-1.9867459126571543, -0.469984134238495, 0.36461930786427943, 215171000000, 
-1.979705385614214, -0.4673627034719185, 0.3474005763547064, 215205000000, 
-1.9726191951969736, -0.464864132849289, 0.3296891656203492, 215239000000, 
-1.96548820505108, -0.4624927591758532, 0.31149709881895565, 215273000000, 
-1.9583135313263738, -0.46025271568806864, 0.2928621519449749, 215307000000, 
-1.9510966188163403, -0.4581481860626344, 0.273758546895125, 215341000000, 
-1.9438394751874746, -0.4561830619434317, 0.2541462009815258, 215375000000, 
-1.936543629574856, -0.4543623645348972, 0.2340181123994343, 215409000000, 
-1.9292117063135503, -0.4526899290295443, 0.21337815830852477, 215443000000, 
-1.9218455153020186, -0.4511711696101494, 0.19220551473678016, 215477000000, 
-1.914455232331254, -0.4498109399569147, 0.1704576372232022, 215511000000, 
-1.9070587347611074, -0.448618446075549, 0.14789337234812086, 215545000000, 
-1.899670985372333, -0.447603508669282, 0.12424665439966666, 215579000000, 
-1.89229174993012, -0.4467702189474258, 0.09944090302694282, 215613000000, 
-1.8849059201557312, -0.44612363840142427, 0.07389668392210406, 215647000000, 
-1.8775035023123112, -0.4456680722685176, 0.047765451657437424, 215681000000, 
-1.8700714371418996, -0.4454069019304559, 0.02101850747231276, 215715000000, 
-1.8625991099580297, -0.44534612714342703, -0.00595245264551332, 215749000000, 
-1.8550778514018753, -0.4454886909334911, -0.03289494228846161, 215783000000, 
-1.8475530218072163, -0.445835168862901, -0.06012777700517391, 215817000000, 
-1.8400395435217816, -0.4463894565635299, -0.08834093273497166, 215851000000, 
-1.8325438483251724, -0.44715879057279756, -0.11743208677274743, 215885000000, 
-1.8250829027426225, -0.44814807142241825, -0.1470932424202061, 215919000000, 
-1.8177204805660654, -0.4493564927550137, -0.17804973506359426, 215953000000, 
-1.810471640530845, -0.4507961571053534, -0.21121907661120365, 215987000000, 
-1.803290060388279, -0.4525006628377341, -0.24595788009631567, 216021000000, 
-1.7960259827655107, -0.45445858508169734, -0.27982617956939443, 216055000000, 
-1.788808906857035, -0.4566549885541773, -0.3118787595468182, 216089000000, 
-1.7816652714835863, -0.45908302692769126, -0.34494537025944555, 216123000000, 
